City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cacapava Do Sul,BR,2021-12-13 00:44:09,-30.5122,-53.4914,71.2,59,5,5.48,clear sky
1,Saldanha,ZA,2021-12-13 00:35:27,-33.0117,17.9442,60.85,93,4,13.85,clear sky
2,Georgetown,MY,2021-12-13 00:35:32,5.4112,100.3354,80.89,80,20,1.99,few clouds
3,The Valley,AI,2021-12-13 00:36:08,18.217,-63.0578,81.1,75,20,22.08,few clouds
4,Hermanus,ZA,2021-12-13 00:35:18,-34.4187,19.2345,62.91,89,91,5.53,overcast clouds
5,Port Elizabeth,ZA,2021-12-13 00:35:42,-33.918,25.5701,70.11,88,90,6.91,light rain
6,Santa Maria,BR,2021-12-13 00:40:09,-29.6842,-53.8069,81.7,51,75,12.66,broken clouds
7,Bredasdorp,ZA,2021-12-13 00:34:39,-34.5322,20.0403,61.92,88,100,3.44,overcast clouds
8,Busselton,AU,2021-12-13 00:38:16,-33.65,115.3333,61.05,45,100,5.61,overcast clouds
9,Pangody,RU,2021-12-13 00:43:45,65.85,74.4859,-28.71,97,11,5.17,few clouds
10,Tsiroanomandidy,MG,2021-12-13 00:44:12,-18.7667,46.0333,72.19,58,100,4.18,overcast clouds
11,Cape Town,ZA,2021-12-13 00:33:54,-33.9258,18.4232,65.08,81,0,1.99,clear sky
12,Riyadh,SA,2021-12-13 00:43:54,24.6877,46.7219,48.34,31,28,5.12,scattered clouds
13,Kavaratti,IN,2021-12-13 00:38:22,10.5669,72.642,81.61,71,82,3.31,broken clouds
14,Tacuati,PY,2021-12-13 00:44:13,-23.45,-56.5833,74.26,83,99,4.47,overcast clouds
15,Ribeira Grande,PT,2021-12-13 00:35:36,38.5167,-28.7,58.24,54,100,16.35,overcast clouds
16,Port Alfred,ZA,2021-12-13 00:35:29,-33.5906,26.891,71.69,95,100,12.35,overcast clouds
17,Ushuaia,AR,2021-12-13 00:34:54,-54.8,-68.3,42.46,61,75,25.32,broken clouds
18,Kumla,SE,2021-12-13 00:44:13,59.1277,15.1434,30.33,100,90,4.61,mist
19,Andenes,NO,2021-12-13 00:44:14,69.3143,16.1194,34.07,93,90,12.66,light rain
20,Jamestown,US,2021-12-13 00:35:25,42.097,-79.2353,40.59,53,1,8.01,clear sky
21,Bambous Virieux,MU,2021-12-13 00:34:58,-20.3428,57.7575,73.65,88,75,4.61,light rain
22,Kamenka,RU,2021-12-13 00:35:54,51.3223,42.7678,18.75,63,100,12.24,overcast clouds
23,Alice Town,BS,2021-12-13 00:44:14,25.7167,-79.3,77.85,73,6,15.14,clear sky
24,Santa Cruz,BO,2021-12-13 00:43:11,-17.8,-63.1667,74.66,94,90,5.75,light rain
25,Buraydah,SA,2021-12-13 00:40:57,26.326,43.975,50.45,32,100,4.56,overcast clouds
26,Japura,ID,2021-12-13 00:44:15,-0.3167,102.35,75.97,95,98,3.91,overcast clouds
27,Dikson,RU,2021-12-13 00:35:30,73.5069,80.5464,-17.01,96,85,16.58,overcast clouds
28,Alexandria,EG,2021-12-13 00:44:15,31.2156,29.9553,61.34,77,40,3.44,scattered clouds
29,Nara,JP,2021-12-13 00:35:40,34.6851,135.8049,50.97,63,77,10.51,broken clouds
30,Saint-Philippe,RE,2021-12-13 00:33:22,-21.3585,55.7679,76.59,74,39,10.85,scattered clouds
31,Bull Savanna,JM,2021-12-13 00:44:16,17.8868,-77.5902,74.34,81,0,4.38,clear sky
32,Sept-Iles,CA,2021-12-13 00:35:20,50.2001,-66.3821,28.06,64,40,15.01,scattered clouds
33,Castro,BR,2021-12-13 00:36:25,-24.7911,-50.0119,67.1,69,100,6.06,overcast clouds
34,Gudari,IN,2021-12-13 00:44:16,19.35,83.7833,63.09,95,100,2.39,overcast clouds
35,Bathsheba,BB,2021-12-13 00:37:35,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
36,Solntsevo,RU,2021-12-13 00:44:17,51.4185,36.7499,28.74,62,100,12.19,overcast clouds
37,Malindi,KE,2021-12-13 00:36:26,-3.2175,40.1191,78.15,83,6,7.02,light rain
38,Lagoa,PT,2021-12-13 00:36:21,39.05,-27.9833,57.49,53,100,17.56,overcast clouds
39,Cidreira,BR,2021-12-13 00:35:47,-30.1811,-50.2056,71.55,91,1,13.87,clear sky
40,Naryan-Mar,RU,2021-12-13 00:35:57,67.6713,53.087,13.98,95,100,9.57,overcast clouds
41,Janoshaza,HU,2021-12-13 00:44:18,47.1194,17.165,37.44,87,47,16.06,scattered clouds
42,Nanortalik,GL,2021-12-13 00:35:31,60.1432,-45.2371,23.14,75,100,8.93,overcast clouds
43,Luau,AO,2021-12-13 00:44:19,-10.7073,22.2247,63.99,98,58,3.27,light rain
44,Nador,MA,2021-12-13 00:44:19,35.174,-2.9287,55.65,94,0,2.3,clear sky
45,Geraldton,AU,2021-12-13 00:36:26,-28.7667,114.6,72.12,49,0,6.91,clear sky
46,Margate,GB,2021-12-13 00:32:22,51.3813,1.3862,53.31,80,100,3.0,overcast clouds
47,Saint-Augustin,CA,2021-12-13 00:43:01,51.226,-58.6502,27.23,63,96,26.22,overcast clouds
48,Adrar,MR,2021-12-13 00:35:47,20.5022,-10.0711,65.48,17,76,10.18,broken clouds
49,Mahebourg,MU,2021-12-13 00:35:26,-20.4081,57.7,73.69,88,75,4.61,light rain
50,Areosa,PT,2021-12-13 00:37:51,41.7178,-8.8571,54.16,81,5,8.52,clear sky
51,Emba,KZ,2021-12-13 00:44:20,48.8264,58.1442,13.05,81,3,12.71,clear sky
52,Colchester,GB,2021-12-13 00:44:20,51.8892,0.9042,53.62,86,100,14.03,overcast clouds
53,Hithadhoo,MV,2021-12-13 00:35:01,-0.6,73.0833,80.85,79,43,10.25,scattered clouds
54,Iquitos,PE,2021-12-13 00:44:21,-3.7481,-73.2472,82.44,83,0,2.3,clear sky
55,Stokmarknes,NO,2021-12-13 00:43:29,68.5646,14.9108,30.09,90,83,5.28,broken clouds
56,Thessalon,CA,2021-12-13 00:42:15,46.2501,-83.5666,41.29,79,68,19.28,broken clouds
57,Muros,ES,2021-12-13 00:38:20,42.7762,-9.0603,56.23,79,20,7.38,few clouds
58,Makokou,GA,2021-12-13 00:44:21,0.5738,12.8642,71.06,94,100,2.06,overcast clouds
59,Inirida,CO,2021-12-13 00:44:22,3.8653,-67.9239,77.45,85,78,3.04,broken clouds
60,Praia Da Vitoria,PT,2021-12-13 00:36:04,38.7333,-27.0667,57.45,67,75,19.66,broken clouds
61,Tazovskiy,RU,2021-12-13 00:44:22,67.4667,78.7,-27.76,94,18,5.41,few clouds
62,Upernavik,GL,2021-12-13 00:35:23,72.7868,-56.1549,5.61,92,100,10.54,overcast clouds
63,Gat,IL,2021-12-13 00:36:18,31.61,34.7642,70.92,32,100,5.46,overcast clouds
64,Pont-Rouge,CA,2021-12-13 00:41:22,46.7566,-71.6978,37.58,67,100,14.56,overcast clouds
65,East London,ZA,2021-12-13 00:35:26,-33.0153,27.9116,71.96,95,100,17.27,overcast clouds
66,South Shields,GB,2021-12-13 00:44:23,54.9986,-1.4323,54.25,82,40,13.8,scattered clouds
67,Curillo,CO,2021-12-13 00:44:23,1.0333,-75.9191,75.69,88,53,1.57,broken clouds
68,Gamba,GA,2021-12-13 00:35:25,-2.65,10.0,75.31,94,100,2.15,light rain
69,Camacha,PT,2021-12-13 00:36:24,33.0833,-16.3333,59.76,94,40,5.75,scattered clouds
70,Andilamena,MG,2021-12-13 00:44:24,-17.0167,48.5833,60.96,93,100,4.56,overcast clouds
71,Tarabha,IN,2021-12-13 00:44:24,20.7333,83.65,60.58,75,13,0.98,few clouds
72,Sao Luis Do Quitunde,BR,2021-12-13 00:44:24,-9.3183,-35.5611,78.24,84,24,7.2,few clouds
73,Pangoa,PE,2021-12-13 00:37:38,-12.1167,-73.0,70.84,99,100,1.59,overcast clouds
74,Olafsvik,IS,2021-12-13 00:35:58,64.8945,-23.7142,41.77,88,100,20.38,overcast clouds
75,Vila Velha,BR,2021-12-13 00:36:01,-20.3297,-40.2925,78.94,85,20,10.0,moderate rain
76,Berlevag,NO,2021-12-13 00:37:59,70.8578,29.0864,24.82,91,71,15.32,light snow
77,Chuy,UY,2021-12-13 00:35:28,-33.6971,-53.4616,67.68,77,6,11.59,clear sky
78,Santo Antonio Do Sudoeste,BR,2021-12-13 00:44:25,-26.0736,-53.7253,70.86,69,100,2.26,overcast clouds
79,Chabahar,IR,2021-12-13 00:43:27,25.2919,60.643,70.43,51,19,6.44,few clouds
80,Salalah,OM,2021-12-13 00:36:35,17.0151,54.0924,71.69,43,0,4.61,clear sky
81,Longyearbyen,SJ,2021-12-13 00:36:14,78.2186,15.6401,31.84,80,75,19.57,broken clouds
82,Dingle,PH,2021-12-13 00:35:23,10.9995,122.6711,81.88,81,28,11.7,scattered clouds
83,Malanje,AO,2021-12-13 00:44:26,-9.5402,16.341,65.08,99,100,3.2,overcast clouds
84,Qaanaaq,GL,2021-12-13 00:34:53,77.484,-69.3632,-3.5,70,11,4.47,few clouds
85,Alta,NO,2021-12-13 00:44:27,69.9689,23.2717,29.44,85,90,3.0,overcast clouds
86,Qasigiannguit,GL,2021-12-13 00:44:27,68.8193,-51.1922,19.65,89,70,5.75,broken clouds
87,Hamilton,US,2021-12-13 00:33:52,39.1834,-84.5333,42.1,61,1,5.75,clear sky
88,Boden,SE,2021-12-13 00:44:28,65.8252,21.6886,32.0,98,90,3.02,overcast clouds
89,Grootfontein,NA,2021-12-13 00:44:28,-19.5667,18.1167,67.57,83,64,3.44,broken clouds
90,Saint Stephen,GB,2021-12-13 00:44:29,50.3333,-4.9,53.87,82,90,18.41,overcast clouds
91,Clyde River,CA,2021-12-13 00:34:29,70.4692,-68.5914,-1.97,92,90,11.5,light snow
92,Punta Arenas,CL,2021-12-13 00:35:00,-53.15,-70.9167,46.51,49,75,23.02,broken clouds
93,Sao Domingos Do Maranhao,BR,2021-12-13 00:44:29,-5.5758,-44.3853,76.73,78,100,2.3,overcast clouds
94,Salekhard,RU,2021-12-13 00:44:29,66.53,66.6019,-15.05,100,71,0.34,broken clouds
95,Oriximina,BR,2021-12-13 00:43:33,-1.7656,-55.8661,76.91,91,100,2.3,light rain
96,Saint-Pierre,RE,2021-12-13 00:35:56,-21.3393,55.4781,76.68,75,0,17.27,clear sky
97,Cabedelo,BR,2021-12-13 00:35:55,-6.9811,-34.8339,79.47,79,57,11.1,broken clouds
98,Victoria,HK,2021-12-13 00:32:08,22.2855,114.1577,66.25,71,5,1.99,clear sky
99,Lebu,CL,2021-12-13 00:35:37,-37.6167,-73.65,52.88,80,28,8.12,scattered clouds
100,Ponta Do Sol,PT,2021-12-13 00:35:50,32.6667,-17.1,64.13,78,26,1.05,scattered clouds
101,General Roca,AR,2021-12-13 00:44:34,-39.0333,-67.5833,66.61,30,9,22.35,clear sky
102,Pangnirtung,CA,2021-12-13 00:35:32,66.1451,-65.7125,-4.99,70,63,7.56,broken clouds
103,Mahibadhoo,MV,2021-12-13 00:36:46,3.7833,72.9667,80.2,81,100,8.3,overcast clouds
104,Dire Dawa,ET,2021-12-13 00:37:14,9.5931,41.8661,63.97,71,56,2.55,broken clouds
105,Grand Gaube,MU,2021-12-13 00:36:02,-20.0064,57.6608,73.8,76,6,3.0,clear sky
106,Najran,SA,2021-12-13 00:41:02,17.4924,44.1277,48.85,69,0,0.78,clear sky
107,Karanja,IN,2021-12-13 00:44:35,20.4833,77.4833,60.46,62,31,6.69,scattered clouds
108,Xuddur,SO,2021-12-13 00:44:35,4.1213,43.8894,72.54,78,95,16.2,overcast clouds
109,Mgandu,TZ,2021-12-13 00:44:35,-5.95,34.1333,62.82,92,83,6.87,broken clouds
110,Mar Del Plata,AR,2021-12-13 00:35:21,-38.0023,-57.5575,66.22,85,0,10.0,clear sky
111,Sisimiut,GL,2021-12-13 00:35:48,66.9395,-53.6735,15.39,84,22,9.31,few clouds
112,Coquimbo,CL,2021-12-13 00:36:56,-29.9533,-71.3436,62.33,77,0,10.36,clear sky
113,Torbay,CA,2021-12-13 00:35:20,47.6666,-52.7314,42.58,92,90,28.77,overcast clouds
114,Visby,SE,2021-12-13 00:44:36,57.6409,18.296,32.22,93,75,6.91,broken clouds
115,Coxim,BR,2021-12-13 00:42:19,-18.5067,-54.76,76.57,90,100,4.09,heavy intensity rain
116,Saint George,US,2021-12-13 00:34:22,37.1041,-113.5841,50.47,41,1,4.0,clear sky
117,Husavik,IS,2021-12-13 00:34:29,66.0449,-17.3389,37.31,79,100,14.2,overcast clouds
118,Sol-Iletsk,RU,2021-12-13 00:44:37,51.1631,54.9918,12.42,83,2,3.91,clear sky
119,Conceicao Do Araguaia,BR,2021-12-13 00:44:37,-8.2578,-49.2647,75.42,93,100,2.95,overcast clouds
120,Narsaq,GL,2021-12-13 00:36:58,60.9167,-46.05,16.02,77,36,9.82,scattered clouds
121,Phalaborwa,ZA,2021-12-13 00:43:24,-23.943,31.1411,79.88,69,100,12.21,overcast clouds
122,Puerto Baquerizo Moreno,EC,2021-12-13 00:44:37,-0.9,-89.6,68.94,92,75,8.52,broken clouds
123,Sawakin,SD,2021-12-13 00:44:38,19.1059,37.3321,80.31,72,18,10.58,few clouds
124,Lodwar,KE,2021-12-13 00:44:38,3.1191,35.5973,80.4,46,93,11.54,overcast clouds
125,Antofagasta,CL,2021-12-13 00:35:57,-23.65,-70.4,63.68,82,28,5.17,scattered clouds
126,Quelimane,MZ,2021-12-13 00:43:41,-17.8786,36.8883,82.35,74,0,9.22,clear sky
127,Hofn,IS,2021-12-13 00:36:58,64.2539,-15.2082,38.98,88,100,1.92,overcast clouds
128,Tonj,SS,2021-12-13 00:44:39,7.2737,28.6822,76.75,31,40,3.56,scattered clouds
129,Santander,ES,2021-12-13 00:44:39,43.4647,-3.8044,50.99,93,17,4.07,few clouds
130,Tasiilaq,GL,2021-12-13 00:35:22,65.6145,-37.6368,35.76,88,100,6.87,overcast clouds
131,Aguimes,ES,2021-12-13 00:43:11,27.9054,-15.4461,61.43,77,20,10.36,few clouds
132,Jalu,LY,2021-12-13 00:44:40,29.0331,21.5482,53.17,80,0,8.12,clear sky
133,Sambava,MG,2021-12-13 00:43:59,-14.2667,50.1667,74.73,84,45,7.18,light rain
134,Tahta,EG,2021-12-13 00:40:39,26.7693,31.5021,64.72,40,96,5.73,overcast clouds
135,Kaoma,ZM,2021-12-13 00:38:05,-14.7833,24.8,74.95,39,100,3.33,overcast clouds
136,Codrington,AU,2021-12-13 00:36:14,-38.2667,141.9667,81.82,31,100,17.67,light rain
137,Nouadhibou,MR,2021-12-13 00:37:34,20.931,-17.0347,64.38,72,0,20.71,clear sky
138,Sao Joao Da Barra,BR,2021-12-13 00:35:03,-21.6403,-41.0511,76.33,91,100,18.77,overcast clouds
139,Arlit,NE,2021-12-13 00:37:36,18.7369,7.3853,67.93,8,100,6.02,overcast clouds
140,Kudahuvadhoo,MV,2021-12-13 00:44:23,2.6708,72.8944,79.54,80,92,3.74,overcast clouds
141,Vardo,NO,2021-12-13 00:36:21,70.3705,31.1107,29.46,82,56,26.24,broken clouds
142,Las Palmas,ES,2021-12-13 00:44:41,28.4204,-14.0131,59.79,94,0,6.91,clear sky
143,Wamba,NG,2021-12-13 00:37:26,8.9333,8.6,74.8,21,10,4.72,clear sky
144,Ilulissat,GL,2021-12-13 00:35:27,69.2167,-51.1,19.42,63,75,14.97,broken clouds
145,Laguna,US,2021-12-13 00:35:54,38.421,-121.4238,51.93,90,90,1.99,mist
146,Changji,CN,2021-12-13 00:44:42,44.0167,87.3167,9.39,78,0,2.24,clear sky
147,Begun,IN,2021-12-13 00:44:42,24.9833,75.0,54.72,53,13,3.06,few clouds
148,Harper,LR,2021-12-13 00:36:36,4.375,-7.7169,79.63,84,11,7.49,few clouds
149,Toro,CO,2021-12-13 00:44:43,4.6117,-76.0814,70.48,99,100,2.08,overcast clouds
150,Brigantine,US,2021-12-13 00:44:43,39.4101,-74.3646,44.65,60,1,5.75,clear sky
151,Palm Beach,US,2021-12-13 00:44:43,26.6503,-80.4498,78.96,90,29,7.56,scattered clouds
152,Peniche,PT,2021-12-13 00:37:20,39.3558,-9.3811,59.61,77,8,8.55,clear sky
153,Santa Margherita Ligure,IT,2021-12-13 00:44:44,44.3346,9.212,52.56,74,99,1.99,overcast clouds
154,Thompson,CA,2021-12-13 00:44:45,55.7435,-97.8558,3.36,85,90,0.0,light snow
155,Iqaluit,CA,2021-12-13 00:35:24,63.7506,-68.5145,4.73,65,40,5.01,scattered clouds
156,Goderich,CA,2021-12-13 00:36:20,43.7501,-81.7165,43.12,65,3,20.71,clear sky
157,Acarau,BR,2021-12-13 00:42:43,-2.8856,-40.12,80.51,80,91,17.36,overcast clouds
158,Bourg-En-Bresse,FR,2021-12-13 00:44:45,46.1667,5.1667,39.34,92,63,1.83,broken clouds
159,Umm Lajj,SA,2021-12-13 00:43:36,25.0213,37.2685,76.15,35,100,5.66,overcast clouds
160,Souillac,MU,2021-12-13 00:36:38,-20.5167,57.5167,73.78,88,75,4.61,light rain
161,Umm Kaddadah,SD,2021-12-13 00:44:46,13.6017,26.6876,68.85,34,2,11.21,clear sky
162,Luderitz,NA,2021-12-13 00:35:44,-26.6481,15.1594,61.12,82,39,13.0,scattered clouds
163,Arraial Do Cabo,BR,2021-12-13 00:35:17,-22.9661,-42.0278,74.98,97,100,10.94,light rain
164,Banepa,NP,2021-12-13 00:44:46,27.6298,85.5214,39.52,93,20,2.3,mist
165,Bay Roberts,CA,2021-12-13 00:42:50,47.5999,-53.2648,43.34,86,100,17.0,overcast clouds
166,Uvira,CD,2021-12-13 00:44:47,-3.4067,29.1458,72.81,72,100,1.72,overcast clouds
167,Yining,CN,2021-12-13 00:44:47,29.0361,114.5636,47.7,82,100,1.81,overcast clouds
168,Amapa,BR,2021-12-13 00:37:57,1.0,-52.0,72.41,99,27,2.48,scattered clouds
169,Abu Samrah,SY,2021-12-13 00:43:26,35.3029,37.1841,54.97,48,100,7.9,overcast clouds
170,Eyl,SO,2021-12-13 00:44:48,7.9803,49.8164,74.43,78,6,20.0,clear sky
171,Stornoway,GB,2021-12-13 00:37:10,58.2093,-6.3865,49.96,86,90,18.01,overcast clouds
172,Balkhash,KZ,2021-12-13 00:44:48,46.844,74.9804,28.94,96,100,4.72,overcast clouds
173,Aktau,KZ,2021-12-13 00:35:43,43.65,51.2,19.98,61,0,11.32,clear sky
174,Bonavista,CA,2021-12-13 00:44:49,48.6499,-53.1147,35.6,71,97,30.24,overcast clouds
175,Sinnamary,GF,2021-12-13 00:35:36,5.3833,-52.95,77.02,90,100,9.37,overcast clouds
176,Allonnes,FR,2021-12-13 00:44:49,47.9674,0.1581,50.04,93,90,2.3,overcast clouds
177,Malumfashi,NG,2021-12-13 00:44:50,11.7853,7.6218,67.62,22,100,8.77,overcast clouds
178,Kasempa,ZM,2021-12-13 00:44:50,-13.4584,25.8338,69.67,49,100,1.19,overcast clouds
179,Atar,MR,2021-12-13 00:35:47,20.5169,-13.0499,69.51,17,99,7.56,overcast clouds
